Negative, Neutral,Positive,Sentiment Score,Class
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.233,0.767,0.767,3
0,1,0,0,2
0,1,0,0,2
0.718,0.282,0,-0.718,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.278,0.722,0.722,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.455,0.545,0.545,3
0,1,0,0,2
0,0.4,0.6,0.6,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.423,0.577,0,-0.423,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.377,0.623,0.623,3
0,1,0,0,2
0.592,0.408,0,-0.592,1
0,1,0,0,2
0.483,0.517,0,-0.483,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.455,0.545,0.545,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.233,0.767,0.767,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.4,0.6,0.6,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.524,0.476,0,-0.524,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.455,0.545,0.545,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.455,0.545,0.545,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.524,0.476,0,-0.524,1
0,1,0,0,2
0,1,0,0,2
0.524,0.476,0,-0.524,1
0,1,0,0,2
0,0.294,0.706,0.706,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.688,0.312,0,-0.688,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0.481,0.519,0,-0.481,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.222,0.778,0.778,3
0,1,0,0,2
0.355,0.645,0,-0.355,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.455,0.545,0.545,3
0,1,0,0,2
0,0.357,0.643,0.643,3
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
0,0.444,0.556,0.556,3
0.481,0.519,0,-0.481,1
0,1,0,0,2
0,1,0,0,2
0,1,0,0,2
