Negative,Neutral,Positive,Sentiment score,Class
0.182,0.273,0.545,0.364,3
0.045,0.545,0.409,0.364,3
0.364,0.227,0.409,0.045,3
0.136,0.5,0.364,0.227,3
0.045,0.455,0.5,0.455,3
0.136,0.591,0.273,0.136,3
0.045,0.318,0.636,0.591,3
0.273,0.273,0.455,0.182,3
0.318,0.5,0.182,-0.136,1
0.143,0.095,0.762,0.619,3
0.143,0.476,0.381,0.238,3
0.143,0.524,0.333,0.19,3
0.048,0.381,0.571,0.524,3
0.286,0.476,0.238,-0.048,1
0.048,0.667,0.286,0.238,3
0.095,0.524,0.381,0.286,3
0.15,0.2,0.65,0.5,3
0.05,0.55,0.4,0.35,3
0.05,0.4,0.55,0.5,3
0.15,0.5,0.35,0.2,3
0.1,0.2,0.7,0.6,3
0.05,0.75,0.2,0.15,3
0.05,0.35,0.6,0.55,3
0.05,0.35,0.6,0.55,3
0.45,0.25,0.3,-0.15,1
0.1,0.5,0.4,0.3,3
0.45,0.15,0.4,-0.05,1
0.158,0.263,0.579,0.421,3
0.053,0.421,0.526,0.474,3
0.368,0.368,0.263,-0.105,1
0.053,0.474,0.474,0.421,3
0.053,0.474,0.474,0.421,3
0.158,0.737,0.105,-0.053,1
0.053,0.421,0.526,0.474,3
0.053,0.316,0.632,0.579,3
0.316,0.211,0.474,0.158,3
0.053,0.316,0.632,0.579,3
0.368,0.158,0.474,0.105,3
0.053,0.895,0.053,0,2
0.111,0.444,0.444,0.333,3
0.167,0.5,0.333,0.167,3
0.111,0.167,0.722,0.611,3
0.333,0.333,0.333,0,2
0.167,0.389,0.444,0.278,3
0.167,0.722,0.111,-0.056,1
0.333,0.444,0.222,-0.111,1
0.111,0.611,0.278,0.167,3
0.167,0.278,0.556,0.389,3
0.056,0.333,0.611,0.556,3
0.111,0.722,0.167,0.056,3
0.056,0.889,0.056,0,2
0.056,0.556,0.389,0.333,3
0.056,0.278,0.667,0.611,3
0.056,0.278,0.667,0.611,3
0.056,0.056,0.889,0.833,3
0.176,0.412,0.412,0.235,3
0.059,0.235,0.706,0.647,3
0.118,0.235,0.647,0.529,3
0.235,0.529,0.235,0,2
0.235,0.235,0.529,0.294,3
0.176,0.118,0.706,0.529,3
0.059,0.588,0.353,0.294,3
0.059,0.765,0.176,0.118,3
0.176,0.647,0.176,0,2
0.118,0.588,0.294,0.176,3
0.235,0.294,0.471,0.235,3
0.059,0.412,0.529,0.471,3
0.118,0.471,0.412,0.294,3
0.059,0.529,0.412,0.353,3
0.118,0.294,0.588,0.471,3
0.059,0.235,0.706,0.647,3
0.059,0.706,0.235,0.176,3
0.765,0.059,0.176,-0.588,1
0.059,0.529,0.412,0.353,3
0.059,0.882,0.059,0,2
0.063,0.375,0.563,0.5,3
0.188,0.188,0.625,0.438,3
0.063,0.875,0.063,0,2
0.063,0.625,0.313,0.25,3
0.063,0.438,0.5,0.438,3
0.125,0.375,0.5,0.375,3
0.063,0.813,0.125,0.063,3
0.063,0.125,0.813,0.75,3
0.188,0.5,0.313,0.125,3
0.063,0.313,0.625,0.563,3
0.063,0.313,0.625,0.563,3
0.063,0.625,0.313,0.25,3
0.063,0.438,0.5,0.438,3
0.2,0.267,0.533,0.333,3
0.267,0.4,0.333,0.067,3
0.067,0.667,0.267,0.2,3
0.2,0.4,0.4,0.2,3
0.133,0.333,0.533,0.4,3
0.067,0.867,0.067,0,2
0.2,0.333,0.467,0.267,3
0.133,0.333,0.533,0.4,3
0.067,0.8,0.133,0.067,3
0.133,0.333,0.533,0.4,3
0.2,0.467,0.333,0.133,3
0.067,0.067,0.867,0.8,3
0.067,0.267,0.667,0.6,3
0.2,0.467,0.333,0.133,3
0.067,0.4,0.533,0.467,3
0.4,0.2,0.4,0,2
0.067,0.533,0.4,0.333,3
0.2,0.533,0.267,0.067,3
0.067,0.867,0.067,0,2
0.067,0.467,0.467,0.4,3
0.143,0.286,0.571,0.429,3
0.143,0.286,0.571,0.429,3
0.286,0.357,0.357,0.071,3
0.357,0.214,0.429,0.071,3
0.071,0.286,0.643,0.571,3
0.357,0.214,0.429,0.071,3
0.571,0.071,0.357,-0.214,1
0.143,0.571,0.286,0.143,3
0.071,0.286,0.643,0.571,3
0.071,0.857,0.071,0,2
0.071,0.357,0.571,0.5,3
0.071,0.286,0.643,0.571,3
0.143,0.571,0.286,0.143,3
0.071,0.5,0.429,0.357,3
0.154,0.231,0.615,0.462,3
0.154,0.462,0.385,0.231,3
0.154,0.308,0.538,0.385,3
0.154,0.308,0.538,0.385,3
0.154,0.385,0.462,0.308,3
0.154,0.462,0.385,0.231,3
0.077,0.308,0.615,0.538,3
0.077,0.692,0.231,0.154,3
0.154,0.231,0.615,0.462,3
0.077,0.308,0.615,0.538,3
0.538,0.154,0.308,-0.231,1
0.154,0.077,0.769,0.615,3
0.308,0.154,0.538,0.231,3
0.231,0.615,0.154,-0.077,1
0.077,0.692,0.231,0.154,3
0.077,0.615,0.308,0.231,3
0.231,0.462,0.308,0.077,3
0.077,0.077,0.846,0.769,3
0.077,0.231,0.692,0.615,3
0.167,0.417,0.417,0.25,3
0.333,0.333,0.333,0,2
0.333,0.417,0.25,-0.083,1
0.333,0.25,0.417,0.083,3
0.25,0.417,0.333,0.083,3
0.417,0.417,0.167,-0.25,1
0.083,0.5,0.417,0.333,3
0.083,0.833,0.083,0,2
0.083,0.333,0.583,0.5,3
0.083,0.5,0.417,0.333,3
0.083,0.417,0.5,0.417,3
0.5,0.25,0.25,-0.25,1
0.167,0.333,0.5,0.333,3
0.083,0.5,0.417,0.333,3
0.083,0.667,0.25,0.167,3
0.25,0.417,0.333,0.083,3
0.333,0.25,0.417,0.083,3
0.083,0.417,0.5,0.417,3
0.25,0.333,0.417,0.167,3
0.167,0.083,0.75,0.583,3
0.083,0.833,0.083,0,2
0.583,0.167,0.25,-0.333,1
0.167,0.417,0.417,0.25,3
0.083,0.833,0.083,0,2
0.083,0.083,0.833,0.75,3
0.091,0.364,0.545,0.455,3
0.182,0.182,0.636,0.455,3
0.182,0.545,0.273,0.091,3
0.273,0.636,0.091,-0.182,1
0.182,0.455,0.364,0.182,3
0.091,0.636,0.273,0.182,3
0.364,0.455,0.182,-0.182,1
0.273,0.455,0.273,0,2
0.091,0.818,0.091,0,2
0.455,0.182,0.364,-0.091,1
0.364,0.364,0.273,-0.091,1
0.273,0.455,0.273,0,2
0.182,0.455,0.364,0.182,3
0.182,0.273,0.545,0.364,3
0.091,0.545,0.364,0.273,3
0.091,0.364,0.545,0.455,3
0.091,0.727,0.182,0.091,3
0.091,0.182,0.727,0.636,3
0.636,0.091,0.273,-0.364,1
0.091,0.273,0.636,0.545,3
0.091,0.455,0.455,0.364,3
0.2,0.5,0.3,0.1,3
0.4,0.2,0.4,0,2
0.2,0.4,0.4,0.2,3
0.4,0.3,0.3,-0.1,1
0.2,0.4,0.4,0.2,3
0.1,0.4,0.5,0.4,3
0.3,0.5,0.2,-0.1,1
0.1,0.3,0.6,0.5,3
0.4,0.4,0.2,-0.2,1
0.1,0.3,0.6,0.5,3
0.1,0.4,0.5,0.4,3
0.1,0.6,0.3,0.2,3
0.6,0.2,0.2,-0.4,1
0.3,0.5,0.2,-0.1,1
0.1,0.4,0.5,0.4,3
0.1,0.3,0.6,0.5,3
0.1,0.3,0.6,0.5,3
0.1,0.3,0.6,0.5,3
0.1,0.6,0.3,0.2,3
0.3,0.3,0.4,0.1,3
0.1,0.1,0.8,0.7,3
0.1,0.5,0.4,0.3,3
0.2,0.4,0.4,0.2,3
0.2,0.4,0.4,0.2,3
0.2,0.2,0.6,0.4,3
0.1,0.5,0.4,0.3,3
0.1,0.4,0.5,0.4,3
0.1,0.2,0.7,0.6,3
0.222,0.222,0.556,0.333,3
0.111,0.444,0.444,0.333,3
0.111,0.556,0.333,0.222,3
0.222,0.111,0.667,0.444,3
0.222,0.333,0.444,0.222,3
0.222,0.444,0.333,0.111,3
0.111,0.556,0.333,0.222,3
0.111,0.222,0.667,0.556,3
0.111,0.667,0.222,0.111,3
0.222,0.556,0.222,0,2
0.111,0.444,0.444,0.333,3
0.111,0.556,0.333,0.222,3
0.111,0.333,0.556,0.444,3
0.111,0.222,0.667,0.556,3
0.778,0.111,0.111,-0.667,1
0.222,0.333,0.444,0.222,3
0.111,0.778,0.111,0,2
0.111,0.556,0.333,0.222,3
0.111,0.111,0.778,0.667,3
0.222,0.444,0.333,0.111,3
0.111,0.222,0.667,0.556,3
0.222,0.556,0.222,0,2
0.111,0.333,0.556,0.444,3
0.222,0.333,0.444,0.222,3
0.111,0.667,0.222,0.111,3
0.111,0.111,0.778,0.667,3
0.111,0.222,0.667,0.556,3
0.111,0.778,0.111,0,2
0.111,0.778,0.111,0,2
0.222,0.333,0.444,0.222,3
0.111,0.778,0.111,0,2
0.111,0.444,0.444,0.333,3
0.111,0.333,0.556,0.444,3
0.111,0.333,0.556,0.444,3
0.111,0.444,0.444,0.333,3
0.111,0.444,0.444,0.333,3
0.125,0.75,0.125,0,2
0.125,0.25,0.625,0.5,3
0.125,0.625,0.25,0.125,3
0.125,0.375,0.5,0.375,3
0.375,0.5,0.125,-0.25,1
0.25,0.375,0.375,0.125,3
0.375,0.375,0.25,-0.125,1
0.375,0.25,0.375,0,2
0.125,0.625,0.25,0.125,3
0.25,0.5,0.25,0,2
0.25,0.625,0.125,-0.125,1
0.25,0.375,0.375,0.125,3
0.125,0.25,0.625,0.5,3
0.125,0.5,0.375,0.25,3
0.25,0.25,0.5,0.25,3
0.125,0.5,0.375,0.25,3
0.25,0.5,0.25,0,2
0.125,0.625,0.25,0.125,3
0.125,0.5,0.375,0.25,3
0.125,0.5,0.375,0.25,3
0.125,0.5,0.375,0.25,3
0.125,0.5,0.375,0.25,3
0.25,0.25,0.5,0.25,3
0.625,0.125,0.25,-0.375,1
0.125,0.625,0.25,0.125,3
0.125,0.625,0.25,0.125,3
0.375,0.375,0.25,-0.125,1
0.125,0.75,0.125,0,2
0.125,0.75,0.125,0,2
0.125,0.75,0.125,0,2
